FECHA,QH0889,QH0894,PM0141,PM0501,PM0431,SST,SPI M0141,SPI M0501,SPI M0431,Year,Month,Day,DayOfWeek,Hour
1993-07-01,104.69,67.18,99.5,217.6,204.8,27.26,-0.05,0.57,1.55,1993,7,1,3,0
1993-08-01,86.0,35.68,54.0,217.6,93.5,26.97,-1.01,0.57,-0.41,1993,8,1,6,0
1993-09-01,74.2,38.39,66.3,182.2,58.2,26.99,-0.75,0.18,-1.03,1993,9,1,2,0
1993-10-01,78.33,42.41,73.9,218.2,93.7,27.15,-0.59,0.58,-0.4,1993,10,1,4,0
1993-11-01,58.03,42.21,74.1,84.5,74.9,27.35,-0.58,-0.91,-0.74,1993,11,1,0,0
1993-12-01,98.45,49.12,122.5,27.1,98.5,26.98,0.44,-1.56,-0.32,1993,12,1,2,0
1994-01-01,70.14,38.43,98.2,88.8,46.6,26.85,-0.08,-0.87,-1.23,1994,1,1,5,0
1994-02-01,90.09,41.89,112.6,120.6,106.3,26.89,0.23,-0.51,-0.18,1994,2,1,1,0
1994-03-01,116.1,48.72,175.5,166.1,139.1,27.34,1.56,0.0,0.39,1994,3,1,1,0
1994-04-01,117.28,46.74,164.9,263.7,163.5,27.25,1.33,1.09,0.82,1994,4,1,4,0
1994-05-01,157.58,86.68,120.1,372.8,229.9,27.2,0.39,2.31,1.99,1994,5,1,6,0
1994-06-01,142.51,79.19,122.1,361.2,181.6,26.38,0.43,2.18,1.14,1994,6,1,2,0
1994-07-01,85.73,102.67,120.6,346.5,245.2,25.74,0.4,2.01,2.26,1994,7,1,4,0
1994-08-01,91.96,63.03,143.2,166.24,117.2,25.21,0.87,0.0,0.01,1994,8,1,0,0
1994-09-01,61.49,42.92,96.5,299.8,85.4,25.38,-0.11,1.49,-0.55,1994,9,1,3,0
1994-10-01,49.92,30.68,38.2,199.4,138.8,25.41,-1.34,0.37,0.39,1994,10,1,5,0
1994-11-01,68.9,42.2,110.0,224.9,64.2,25.65,0.17,0.65,-0.92,1994,11,1,1,0
1994-12-01,95.61,43.97,96.2,220.3,122.36,25.65,-0.12,0.6,0.0,1994,12,1,3,0
1995-01-01,65.62,33.2,48.7,169.8,36.4,25.68,-1.12,0.04,-1.41,1995,1,1,6,0
1995-02-01,48.49,34.54,78.7,221.2,41.7,25.99,-0.49,0.61,-1.32,1995,2,1,2,0
1995-03-01,57.33,37.23,112.9,174.0,42.9,26.25,0.23,0.09,-1.3,1995,3,1,2,0
1995-04-01,45.01,38.44,113.7,172.1,141.7,26.63,0.25,0.06,0.44,1995,4,1,5,0
1995-05-01,86.04,51.69,106.45,401.6,152.5,26.73,0.0,2.63,0.63,1995,5,1,0,0
1995-06-01,66.6,51.32,101.75,290.8,126.4,26.33,0.0,1.39,0.17,1995,6,1,3,0
1995-07-01,80.38,56.25,102.05,246.7,142.6,25.94,0.0,0.9,0.46,1995,7,1,5,0
1995-08-01,36.27,37.28,21.9,91.6,44.4,25.73,-1.69,-0.84,-1.27,1995,8,1,1,0
1995-09-01,37.92,44.12,59.5,140.8,67.5,25.72,-0.89,-0.29,-0.87,1995,9,1,4,0
1995-10-01,30.96,48.52,138.3,116.3,40.7,25.98,0.77,-0.56,-1.34,1995,10,1,6,0
1995-11-01,44.64,54.88,155.1,177.9,92.5,26.25,1.12,0.13,-0.43,1995,11,1,2,0
1995-12-01,38.75,56.23,179.7,150.8,113.9,26.35,1.64,-0.17,-0.05,1995,12,1,4,0
1996-01-01,35.0,53.28,120.4,118.1,103.1,26.5,0.39,-0.54,-0.24,1996,1,1,0,0
1996-02-01,59.6,67.12,141.2,135.2,183.9,26.56,0.83,-0.35,1.18,1996,2,1,3,0
1996-03-01,53.79,61.86,190.5,74.6,95.5,27.11,1.87,-1.03,-0.37,1996,3,1,4,0
1996-04-01,58.87,68.94,250.8,81.1,125.6,27.79,3.14,-0.95,0.16,1996,4,1,0,0
1996-05-01,66.93,70.25,168.1,91.9,87.5,28.33,1.4,-0.83,-0.51,1996,5,1,2,0
1996-06-01,64.94,55.47,73.6,46.2,48.2,27.67,-0.59,-1.34,-1.21,1996,6,1,5,0
1996-07-01,98.77,101.78,162.0,175.48,203.8,27.16,1.27,0.11,1.53,1996,7,1,0,0
1996-08-01,73.86,86.03,68.4,134.01,117.2,27.16,-0.7,-0.31,0.01,1996,8,1,3,0
1996-09-01,58.92,86.87,92.7,133.73,101.5,27.0,-0.19,-0.32,-0.27,1996,9,1,6,0
1996-10-01,51.87,82.77,181.2,152.9,109.2,27.2,1.68,-0.08,-0.13,1996,10,1,1,0
1996-11-01,44.25,55.85,37.8,115.29,46.9,27.46,-1.35,-0.54,-1.23,1996,11,1,4,0
1996-12-01,47.89,53.47,63.5,119.12,63.8,27.69,-0.81,-0.47,-0.93,1996,12,1,6,0
1997-01-01,30.4,50.96,118.1,64.2,72.8,27.72,0.34,-1.14,-0.77,1997,1,1,2,0
1997-02-01,101.55,67.94,117.0,141.7,112.5,27.95,0.32,-0.28,-0.07,1997,2,1,5,0
1997-03-01,116.14,78.97,165.8,108.7,156.5,28.15,1.35,-0.64,0.7,1997,3,1,5,0
1997-04-01,110.18,77.23,203.6,156.8,115.8,28.45,2.15,-0.11,-0.02,1997,4,1,1,0
1997-05-01,150.67,74.86,104.6,145.1,140.0,28.62,0.06,-0.24,0.41,1997,5,1,3,0
1997-06-01,63.95,51.26,52.6,148.6,61.6,28.58,-1.04,-0.2,-0.97,1997,6,1,6,0
1997-07-01,122.47,68.39,116.4,146.7,165.4,27.32,0.31,-0.22,0.86,1997,7,1,1,0
1997-08-01,102.03,55.56,68.6,137.3,169.7,27.0,-0.7,-0.32,0.93,1997,8,1,4,0
1997-09-01,64.57,41.24,50.2,163.8,71.7,26.8,-1.09,-0.03,-0.79,1997,9,1,0,0
1997-10-01,38.57,45.53,82.7,191.2,61.1,26.81,-0.4,0.28,-0.98,1997,10,1,2,0
1997-11-01,60.26,53.27,287.3,145.35,65.1,26.91,3.91,-0.03,-0.91,1997,11,1,5,0
1997-12-01,79.4,51.05,101.8,177.24,119.44,27.47,0.0,0.15,0.0,1997,12,1,0,0
1998-01-01,68.03,35.56,50.8,270.8,94.4,27.3,-1.08,1.17,-0.39,1998,1,1,3,0
1998-02-01,49.89,50.89,191.4,195.1,74.1,27.53,1.89,0.32,-0.75,1998,2,1,6,0
1998-03-01,59.74,52.02,190.0,270.8,96.9,27.79,1.86,1.17,-0.35,1998,3,1,6,0
1998-04-01,88.82,67.51,129.1,405.5,169.9,28.14,0.58,2.67,0.94,1998,4,1,2,0
1998-05-01,72.62,68.75,148.0,235.7,97.4,28.46,0.97,0.77,-0.34,1998,5,1,4,0
1998-06-01,133.93,70.02,117.7,201.8,201.1,28.12,0.34,0.4,1.49,1998,6,1,0,0
1998-07-01,105.36,68.71,132.2,171.2,191.7,27.42,0.64,0.05,1.32,1998,7,1,2,0
1998-08-01,61.88,50.71,62.8,98.8,66.1,26.91,-0.82,-0.75,-0.89,1998,8,1,5,0
1998-09-01,41.33,38.19,30.4,55.4,30.7,27.0,-1.51,-1.24,-1.51,1998,9,1,1,0
1998-10-01,75.73,54.81,104.69,88.2,146.2,27.11,0.0,-0.87,0.52,1998,10,1,3,0
1998-11-01,75.73,34.58,57.7,52.2,53.2,27.28,-0.93,-1.28,-1.12,1998,11,1,6,0
1998-12-01,75.73,32.08,40.1,63.6,60.3,27.28,-1.3,-1.15,-0.99,1998,12,1,1,0
1999-01-01,79.51,73.59,139.4,84.0,73.6,27.29,0.79,-0.92,-0.76,1999,1,1,4,0
1999-02-01,75.99,81.75,196.4,231.8,125.2,27.28,2.0,0.73,0.15,1999,2,1,0,0
1999-03-01,69.48,73.21,170.5,197.9,206.7,27.51,1.45,0.35,1.58,1999,3,1,0,0
1999-04-01,173.18,44.95,227.1,233.8,194.9,27.73,2.64,0.75,1.38,1999,4,1,3,0
1999-05-01,136.87,55.23,189.1,288.0,113.8,27.82,1.84,1.36,-0.05,1999,5,1,5,0
1999-06-01,129.43,24.61,102.37,211.8,116.9,27.29,0.0,0.51,0.0,1999,6,1,1,0
1999-07-01,146.98,58.89,113.0,179.5,140.3,26.64,0.24,0.15,0.42,1999,7,1,3,0
1999-08-01,96.41,58.89,95.7,145.1,128.1,25.99,-0.13,-0.24,0.2,1999,8,1,6,0
1999-09-01,108.68,58.89,127.7,56.1,28.1,26.86,0.55,-1.23,-1.56,1999,9,1,2,0
1999-10-01,64.15,58.89,63.4,66.8,79.8,26.25,-0.81,-1.11,-0.65,1999,10,1,4,0
1999-11-01,34.64,58.89,43.9,85.1,70.41,26.49,-1.22,-0.91,-0.89,1999,11,1,0,0
1999-12-01,33.23,58.89,179.1,141.5,107.96,26.69,1.63,-0.28,-0.26,1999,12,1,2,0
2000-01-01,45.71,66.62,105.26,102.4,44.9,26.83,0.0,-0.71,-1.26,2000,1,1,5,0
2000-02-01,52.81,53.96,207.0,95.9,61.7,27.14,2.22,-0.79,-0.97,2000,2,1,1,0
2000-03-01,62.4,67.69,150.5,203.6,81.7,27.49,1.03,0.42,-0.62,2000,3,1,2,0
2000-04-01,86.39,46.7,191.0,268.5,123.6,28.0,1.88,1.14,0.12,2000,4,1,5,0
