"PRECIPITATION.mm.","WINDDIR.deg.","WINDDPEED.m.s.","PARTICULAS.microg.m3.","PL2","PL3","X","Y"
3.7,129.64,1.41,15.61,"UH","M",-0.899526073265921,1.08579594929931
0.7,109.15,2.02,11.16,"H","M",-0.662645643491606,1.90821926181495
23.6,185.28,1.2,19.71,"UH","M",-1.19490825712628,-0.110427610005056
6,128.72,1.01,22.9,"UH","M",-0.631770190240447,0.78801423002605
14,49.08,1.53,14.41,"H","M",1.00215706317903,1.15610605946011
8.6,10.81,1.48,16.48,"UH","M",1.45373670670703,0.277578074733231
0.1,98.9,1.89,17.31,"UH","M",-0.292402630105995,1.86724414630415
0.1,89.68,1.63,19.54,"UH","M",0.00910359005045004,1.6299745779147
0.1,162,1.46,15.37,"UH","M",-1.38854251379092,0.451164811787423
0.1,43.01,1.69,15.92,"UH","M",1.23578657423704,1.15279293150829
0,59.9,1.57,18.37,"UH","M",0.787371857340348,1.35828773029444
0,101.73,1.19,17.63,"UH","M",-0.241926985006144,1.16514863168861
1.7,202.2,1.39,20.67,"UH","M",-1.28696011288589,-0.525198693677669
0,46.66,1.65,18.51,"UH","M",1.13243834053257,1.20003475153507
12.1,172.91,1.89,13.74,"H","M",-1.87554810611434,0.23327944969693
0,157.75,1.93,13.21,"H","M",-1.7862931727539,0.730791831490196
0.5,94.4,1.65,14.07,"H","M",-0.126586396409251,1.64513704117442
0,181.75,2.19,8.74,"H","L",-2.1889785639324,-0.0668793439295121
17.5,159.65,1.74,20.78,"UH","M",-1.63139932516107,0.605091928440624
2.5,124.4,1.56,19.18,"UH","M",-0.881348525342903,1.28717705731414
3.5,61.68,1.83,15.3,"UH","M",0.868143810263091,1.61097061571646
0.6,129.07,1.38,19.74,"UH","M",-0.86977174998849,1.07139960001951
2.5,122.89,1.34,19.06,"UH","M",-0.727657386492292,1.12521763578572
1.3,191.06,1.97,16.23,"UH","M",-1.93341085615237,-0.377918590852801
0,130.07,1.92,18.1,"UH","M",-1.23594821678527,1.46929643211481
0,25.12,1.85,16,"UH","M",1.67502824007628,0.785353675070644
0.5,71.27,1.83,14.33,"H","M",0.587629295703008,1.73308736387742
0,106.46,1.59,20.14,"UH","M",-0.450519970018221,1.52483827228162
0,44.66,1.66,16.94,"UH","M",1.18074200217462,1.16681117765501
0,95.72,1.81,16.28,"UH","M",-0.180397421323969,1.80098772077426
0,87.91,1.45,19.88,"UH","M",0.0528804740402118,1.4490354224329
0.1,87.94,1.79,16.69,"UH","M",0.0643434062338932,1.78884318096199
5.8,152.56,1.46,17.57,"UH","M",-1.29574107757328,0.672796447589629
0,38.31,1.68,17.42,"UH","M",1.31824255371213,1.04145886600601
0.3,91.32,1.56,10.6,"H","M",-0.0359366407726655,1.55958602130501
0,129.67,1.84,14.25,"H","M",-1.17459136688695,1.41631039000448
0,75.29,1.67,13.72,"H","M",0.424057690518193,1.61526315970878
0.9,165.16,1.63,17.09,"UH","M",-1.57563105371247,0.417476685069875
0.1,190.16,2.36,11.59,"H","M",-2.32299283194686,-0.41629833379862
0.4,43.7,1.8,15.49,"UH","M",1.30134086263722,1.24358833993835
2.7,38.99,1.77,23.18,"UH","M",1.37574274254492,1.11365699671622
0,174.94,2.59,7.47,"H","L",-2.57990646594237,0.228435170209686
0,171.13,2.34,7.26,"H","L",-2.31201532342668,0.360811785062858
0,174.73,2.43,6.92,"H","L",-2.41972821216549,0.22319359141876
0,134.47,2.14,8.21,"H","L",-1.49914642191646,1.52714112172224
0,116.46,2.18,8.22,"H","L",-0.971348970781634,1.95163551334809
0.1,148.47,2.35,9.88,"H","L",-2.0030611995175,1.22892059588385
0,71.96,1.78,14.35,"H","M",0.551231969459329,1.6924961789753
0,83.73,1.58,21.62,"UH","M",0.172557897746795,1.57054887600648
0,115.795153846154,1.88856325492689,18.4210277957337,"UH","M",-0.821817644325527,1.70037846591143
0.9,115.795153846154,1.88856325492689,18.4210277957337,"UH","M",-0.821817644325527,1.70037846591143
4,63.05,1.93,15.91,"UH","M",0.874700659795835,1.72040656699303
0,33.39,1.85,16.1,"UH","M",1.54464626598839,1.01811979303426
0,81.14,1.89,16.35,"UH","M",0.291098976623478,1.86744782679698
0,165.62,2.35,11.14,"H","M",-2.27637429147124,0.583626665882238
0,148.41,2.14,11.52,"H","M",-1.82289132028076,1.12101170129712
1.2,147.56,1.62,18.69,"UH","M",-1.36720490020703,0.868994108639347
15.9,284.99,1.73,19.89,"UH","M",0.447465287671333,-1.67112980235804
0,148.73,1.61,16.92,"UH","M",-1.37611647942786,0.835705351811906
0,130.2,1.93,15.25,"UH","M",-1.24573333730722,1.47412633526486
0.4,160.34,1.97,15.61,"UH","M",-1.85516013492927,0.66278267461454
6.7,138.71,1.54,20.17,"UH","M",-1.15712414368669,1.01620062787687
0.9,100.14,1.55,21.48,"UH","M",-0.272883694078731,1.52578979204409
