Date,Time,PM2.5,lat,lon
2013-05-09,8:29:56,0,4.662821554,-74.05501189
2013-05-09,8:29:57,0,4.66278987,-74.05502304
2013-05-09,8:29:58,0,4.662767658,-74.05503544
2013-05-09,8:29:59,0,4.66274092,-74.05504826
2013-05-09,8:30:00,0,4.662712673,-74.05506109
2013-05-09,8:30:01,0,4.662690293,-74.05505262
2013-05-09,8:30:02,0,4.662667243,-74.05506712
2013-05-09,8:30:07,0,4.662516117,-74.05511063
2013-05-09,8:30:12,0,4.662358873,-74.05521875
2013-05-09,8:30:17,0,4.662209339,-74.05538564
2013-05-09,8:30:22,20,4.6620443,-74.05556182
2013-05-09,8:30:27,0,4.661881858,-74.05568764
2013-05-09,8:30:32,66,4.661728973,-74.05576265
2013-05-09,8:30:37,1010,4.661621768,-74.05581999
2013-05-09,8:30:42,247,4.661491597,-74.05590657
2013-05-09,8:30:47,0,4.661375927,-74.05599919
2013-05-09,8:30:52,0,4.661242571,-74.05606977
2013-05-09,8:30:57,27,4.66116244,-74.05605292
2013-05-09,8:31:02,0,4.661062695,-74.05619667
2013-05-09,8:31:07,450,4.660938727,-74.05633405
2013-05-09,8:31:12,269,4.660798078,-74.05642793
2013-05-09,8:31:17,646,4.660676876,-74.05648107
2013-05-09,8:31:22,678,4.660596242,-74.05651082
2013-05-09,8:31:23,548,4.660599427,-74.05652524
2013-05-09,8:31:24,241,4.660590794,-74.05654879
2013-05-09,8:31:25,127,4.66058895,-74.05652935
2013-05-09,8:31:26,128,4.660568498,-74.05651585
2013-05-09,8:31:27,106,4.660564726,-74.05651384
2013-05-09,8:31:28,167,4.660560451,-74.05651988
2013-05-09,8:31:29,163,4.660547543,-74.05652373
2013-05-09,8:31:30,81,4.660535641,-74.05653345
2013-05-09,8:31:31,58,4.660527343,-74.05653019
2013-05-09,8:31:32,63,4.660531869,-74.05653119
2013-05-09,8:31:33,44,4.660540838,-74.05652189
2013-05-09,8:31:34,48,4.66054637,-74.05651652
2013-05-09,8:31:35,41,4.660548046,-74.05650764
2013-05-09,8:31:36,35,4.660544442,-74.05649389
2013-05-09,8:31:41,47,4.660533462,-74.05651057
2013-05-09,8:31:46,24,4.660525918,-74.05651744
2013-05-09,8:31:51,23,4.660482667,-74.05657226
2013-05-09,8:31:56,23,4.660406476,-74.05664803
2013-05-09,8:32:01,46,4.660310168,-74.05669522
2013-05-09,8:32:06,59,4.660197683,-74.05674778
2013-05-09,8:32:11,54,4.660084778,-74.0568202
2013-05-09,8:32:16,39,4.659984447,-74.05691533
2013-05-09,8:32:21,31,4.659872465,-74.05701919
2013-05-09,8:32:26,36,4.659747323,-74.05710904
2013-05-09,8:32:31,63,4.65963643,-74.05718012
2013-05-09,8:32:36,64,4.659488825,-74.05725924
2013-05-09,8:32:41,28,4.659356643,-74.05736896
2013-05-09,8:32:42,30,4.659310877,-74.05743585
2013-05-09,8:32:43,30,4.659319427,-74.05744499
2013-05-09,8:32:44,31,4.659293359,-74.05744314
2013-05-09,8:32:45,35,4.659270393,-74.05746209
2013-05-09,8:32:46,36,4.659245666,-74.05747055
2013-05-09,8:32:47,32,4.659231333,-74.05746493
2013-05-09,8:32:48,30,4.65921063,-74.05745965
2013-05-09,8:32:49,29,4.659194872,-74.05746192
2013-05-09,8:32:50,30,4.659181042,-74.05747164
2013-05-09,8:32:51,35,4.659172157,-74.05747432
2013-05-09,8:32:52,38,4.65916059,-74.0574812
2013-05-09,8:32:53,37,4.659138545,-74.05750324
2013-05-09,8:32:54,32,4.65910485,-74.05753015
2013-05-09,8:32:55,30,4.659076938,-74.05755353
2013-05-09,8:33:00,32,4.658993119,-74.05761187
2013-05-09,8:33:05,336,4.658975936,-74.05760039
2013-05-09,8:33:10,286,4.658984067,-74.05761732
2013-05-09,8:33:15,382,4.658958334,-74.05762738
2013-05-09,8:33:20,227,4.658902427,-74.05766057
2013-05-09,8:33:25,351,4.65883797,-74.05772452
2013-05-09,8:33:26,310,4.658823721,-74.05773014
2013-05-09,8:33:27,317,4.658808131,-74.05774414
2013-05-09,8:33:28,321,4.65879254,-74.05775805
2013-05-09,8:33:29,320,4.658776866,-74.05777196
2013-05-09,8:33:30,303,4.658761276,-74.05778596
2013-05-09,8:33:31,268,4.658745602,-74.05779988
