FECHA,QH0889,QH0894,PM0141,PM0501,PM0431,SST,SPI M0141,SPI M0501,SPI M0431
01-10-96,51.87,82.77,181.20,152.90,109.20,27.20,1.68,-0.08,-0.13
01-11-96,44.25,55.85,37.80,115.29,46.90,27.46,-1.35,-0.54,-1.23
01-12-96,47.89,53.47,63.50,119.12,63.80,27.69,-0.81,-0.47,-0.93
01-01-97,30.40,50.96,118.10,64.20,72.80,27.72,0.34,-1.14,-0.77
01-02-97,101.55,67.94,117.00,141.70,112.50,27.95,0.32,-0.28,-0.07
01-03-97,116.14,78.97,165.80,108.70,156.50,28.15,1.35,-0.64,0.70
01-04-97,110.18,77.23,203.60,156.80,115.80,28.45,2.15,-0.11,-0.02
01-05-97,150.67,74.86,104.60,145.10,140.00,28.62,0.06,-0.24,0.41
01-06-97,63.95,51.26,52.60,148.60,61.60,28.58,-1.04,-0.20,-0.97
01-07-97,122.47,68.39,116.40,146.70,165.40,27.32,0.31,-0.22,0.86
01-08-97,102.03,55.56,68.60,137.30,169.70,27.00,-0.70,-0.32,0.93
01-09-97,64.57,41.24,50.20,163.80,71.70,26.80,-1.09,-0.03,-0.79
01-10-97,38.57,45.53,82.70,191.20,61.10,26.81,-0.40,0.28,-0.98
01-11-97,60.26,53.27,287.30,145.35,65.10,26.91,3.91,-0.03,-0.91
01-12-97,79.40,51.05,101.80,177.24,119.44,27.47,0.00,0.15,0.00
01-01-98,68.03,35.56,50.80,270.80,94.40,27.30,-1.08,1.17,-0.39
01-02-98,49.89,50.89,191.40,195.10,74.10,27.53,1.89,0.32,-0.75
01-03-98,59.74,52.02,190.00,270.80,96.90,27.79,1.86,1.17,-0.35
01-04-98,88.82,67.51,129.10,405.50,169.90,28.14,0.58,2.67,0.94
01-05-98,72.62,68.75,148.00,235.70,97.40,28.46,0.97,0.77,-0.34
01-06-98,133.93,70.02,117.70,201.80,201.10,28.12,0.34,0.40,1.49
01-07-98,105.36,68.71,132.20,171.20,191.70,27.42,0.64,0.05,1.32
01-08-98,61.88,50.71,62.80,98.80,66.10,26.91,-0.82,-0.75,-0.89
01-09-98,41.33,38.19,30.40,55.40,30.70,27.00,-1.51,-1.24,-1.51
01-10-98,75.73,54.81,104.69,88.20,146.20,27.11,0.00,-0.87,0.52
01-11-98,75.73,34.58,57.70,52.20,53.20,27.28,-0.93,-1.28,-1.12
01-12-98,75.73,32.08,40.10,63.60,60.30,27.28,-1.30,-1.15,-0.99
01-01-99,79.51,73.59,139.40,84.00,73.60,27.29,0.79,-0.92,-0.76
01-02-99,75.99,81.75,196.40,231.80,125.20,27.28,2.00,0.73,0.15
01-03-99,69.48,73.21,170.50,197.90,206.70,27.51,1.45,0.35,1.58
01-04-99,173.18,44.95,227.10,233.80,194.90,27.73,2.64,0.75,1.38
01-05-99,136.87,55.23,189.10,288.00,113.80,27.82,1.84,1.36,-0.05
01-06-99,129.43,24.61,102.37,211.80,116.90,27.29,0.00,0.51,0.00
01-07-99,146.98,58.89,113.00,179.50,140.30,26.64,0.24,0.15,0.42
01-08-99,96.41,58.89,95.70,145.10,128.10,25.99,-0.13,-0.24,0.20
01-09-99,108.68,58.89,127.70,56.10,28.10,26.86,0.55,-1.23,-1.56
01-10-99,64.15,58.89,63.40,66.80,79.80,26.25,-0.81,-1.11,-0.65
01-11-99,34.64,58.89,43.90,85.10,70.41,26.49,-1.22,-0.91,-0.89
01-12-99,33.23,58.89,179.10,141.50,107.96,26.69,1.63,-0.28,-0.26
01-01-00,45.71,66.62,105.26,102.40,44.90,26.83,0.00,-0.71,-1.26
01-02-00,52.81,53.96,207.00,95.90,61.70,27.14,2.22,-0.79,-0.97
01-03-00,62.40,67.69,150.50,203.60,81.70,27.49,1.03,0.42,-0.62
01-04-00,86.39,46.70,191.00,268.50,123.60,28.00,1.88,1.14,0.12
01-05-00,69.43,58.74,223.70,197.80,186.30,28.11,2.57,0.35,1.23
01-06-00,76.67,58.74,103.10,214.80,132.60,27.53,0.03,0.54,0.28
01-07-00,76.68,58.74,61.80,208.40,81.40,27.14,-0.84,0.47,-0.62
01-08-00,85.05,58.74,68.30,75.90,124.10,26.61,-0.71,-1.01,0.13
01-09-00,96.01,58.74,214.10,189.93,124.80,26.41,2.37,0.27,0.14
01-10-00,62.19,58.74,48.90,142.20,57.60,26.43,-1.12,-0.21,-1.04
01-11-00,55.35,58.74,35.60,139.99,47.70,26.67,-1.40,-0.23,-1.21
01-12-00,74.11,58.74,50.30,152.27,69.10,26.71,-1.09,-0.11,-0.84
01-01-01,49.18,29.44,151.10,109.20,34.80,26.75,1.04,-0.64,-1.44
01-02-01,45.53,46.20,87.10,231.80,91.60,26.87,-0.31,0.73,-0.44
01-03-01,81.89,85.26,165.80,197.90,84.30,27.13,1.35,0.35,-0.57
01-04-01,79.73,47.56,123.00,233.80,191.40,27.54,0.45,0.75,1.32
01-05-01,103.16,110.24,107.60,171.96,93.40,27.59,0.12,0.10,-0.41
01-06-01,225.03,46.79,139.80,217.43,244.70,27.97,0.80,0.53,2.25
01-07-01,97.42,66.50,94.90,178.01,105.70,26.42,-0.15,0.13,-0.19
01-08-01,97.42,45.04,89.30,171.31,100.40,26.78,-0.26,0.07,-0.29
01-09-01,97.42,19.81,65.30,156.88,83.00,26.75,-0.77,-0.05,-0.59
01-10-01,97.42,22.71,39.30,132.92,30.10,26.12,-1.32,-0.25,-1.52
01-11-01,97.42,30.30,95.61,150.10,49.40,26.13,0.00,-0.09,-1.18
01-12-01,97.42,49.99,98.23,155.86,51.00,26.16,0.00,-0.05,-1.16
01-01-02,66.08,28.65,82.70,172.50,70.90,26.36,-0.40,0.07,-0.81
01-02-02,44.80,18.54,90.90,194.60,134.60,26.64,-0.23,0.32,0.32
01-03-02,30.85,28.97,116.70,170.12,107.10,27.33,0.31,0.04,-0.17
01-04-02,47.86,64.28,128.00,178.60,104.10,27.88,0.55,0.13,-0.22
01-05-02,47.40,79.76,126.80,204.10,161.80,27.95,0.53,0.38,0.79
01-06-02,47.40,43.31,57.50,173.55,152.60,27.42,-0.93,0.05,0.63
01-07-02,47.40,66.17,83.40,193.18,153.60,27.37,-0.39,0.26,0.65
01-08-02,47.40,51.08,59.70,167.92,112.80,26.74,-0.89,0.02,-0.07
